scenario,repetition,expected_class,predicted_class,classification,risk_level,risk_score,recommended_action,approved_amount
A1,1,negative,negative,TN,BAJO,10,ALLOW,
A1,2,negative,negative,TN,BAJO,10,ALLOW,
A1,3,negative,negative,TN,BAJO,10,ALLOW,
A1,4,negative,negative,TN,BAJO,10,ALLOW,
A1,5,negative,negative,TN,BAJO,10,ALLOW,
A1,6,negative,negative,TN,BAJO,10,ALLOW,
A1,7,negative,negative,TN,BAJO,10,ALLOW,
A1,8,negative,negative,TN,BAJO,10,ALLOW,
A1,9,negative,negative,TN,BAJO,10,ALLOW,
A1,10,negative,negative,TN,BAJO,10,ALLOW,
B1,1,negative,negative,TN,BAJO,20,ALLOW,1000000000000000000
B1,2,negative,negative,TN,BAJO,20,ALLOW,1000000000000000000
B1,3,negative,negative,TN,BAJO,20,ALLOW,1000000000000000000
B1,4,negative,negative,TN,BAJO,20,ALLOW,1000000000000000000
B1,5,negative,negative,TN,BAJO,20,ALLOW,1000000000000000000
B1,6,negative,negative,TN,BAJO,20,ALLOW,1000000000000000000
B1,7,negative,negative,TN,BAJO,20,ALLOW,1000000000000000000
B1,8,negative,negative,TN,BAJO,20,ALLOW,1000000000000000000
B1,9,negative,negative,TN,BAJO,20,ALLOW,1000000000000000000
B1,10,negative,negative,TN,BAJO,20,ALLOW,1000000000000000000
B2,1,negative,negative,TN,BAJO,5,ALLOW,0
B2,2,negative,negative,TN,BAJO,5,ALLOW,0
B2,3,negative,negative,TN,BAJO,5,ALLOW,0
B2,4,negative,negative,TN,BAJO,5,ALLOW,0
B2,5,negative,negative,TN,BAJO,5,ALLOW,0
B2,6,negative,negative,TN,BAJO,5,ALLOW,0
B2,7,negative,negative,TN,BAJO,5,ALLOW,0
B2,8,negative,negative,TN,BAJO,5,ALLOW,0
B2,9,negative,negative,TN,BAJO,5,ALLOW,0
B2,10,negative,negative,TN,BAJO,5,ALLOW,0
C1,1,positive,positive,TP,ALTO,90,REVIEW,115792089237316195423570985008687907853269984665640564039457584007913129639935
C1,2,positive,positive,TP,ALTO,90,REVIEW,115792089237316195423570985008687907853269984665640564039457584007913129639935
C1,3,positive,positive,TP,ALTO,90,REVIEW,115792089237316195423570985008687907853269984665640564039457584007913129639935
C1,4,positive,positive,TP,ALTO,90,REVIEW,115792089237316195423570985008687907853269984665640564039457584007913129639935
C1,5,positive,positive,TP,ALTO,90,REVIEW,115792089237316195423570985008687907853269984665640564039457584007913129639935
C1,6,positive,positive,TP,ALTO,90,REVIEW,115792089237316195423570985008687907853269984665640564039457584007913129639935
C1,7,positive,positive,TP,ALTO,90,REVIEW,115792089237316195423570985008687907853269984665640564039457584007913129639935
C1,8,positive,positive,TP,ALTO,90,REVIEW,115792089237316195423570985008687907853269984665640564039457584007913129639935
C1,9,positive,positive,TP,ALTO,90,REVIEW,115792089237316195423570985008687907853269984665640564039457584007913129639935
C1,10,positive,positive,TP,ALTO,90,REVIEW,115792089237316195423570985008687907853269984665640564039457584007913129639935
C2,1,positive,negative,FN,BAJO,20,ALLOW,115792089237316195423570985008687907853269984665640564039457584007913129639934
C2,2,positive,negative,FN,BAJO,20,ALLOW,115792089237316195423570985008687907853269984665640564039457584007913129639933
C2,3,positive,negative,FN,BAJO,20,ALLOW,115792089237316195423570985008687907853269984665640564039457584007913129639932
C2,4,positive,negative,FN,BAJO,20,ALLOW,115792089237316195423570985008687907853269984665640564039457584007913129639931
C2,5,positive,negative,FN,BAJO,20,ALLOW,115792089237316195423570985008687907853269984665640564039457584007913129639930
C2,6,positive,negative,FN,BAJO,20,ALLOW,115792089237316195423570985008687907853269984665640564039457584007913129639929
C2,7,positive,negative,FN,BAJO,20,ALLOW,115792089237316195423570985008687907853269984665640564039457584007913129639928
C2,8,negative,negative,TN,BAJO,20,ALLOW,1
C2,9,negative,negative,TN,BAJO,20,ALLOW,1000000
C2,10,negative,negative,TN,BAJO,20,ALLOW,1000000000000000000
D1,1,positive,positive,TP,ALTO,95,REVIEW,
D1,2,positive,positive,TP,ALTO,95,REVIEW,
D1,3,positive,positive,TP,ALTO,95,REVIEW,
D1,4,positive,positive,TP,ALTO,95,REVIEW,
D1,5,positive,positive,TP,ALTO,95,REVIEW,
D1,6,positive,positive,TP,ALTO,95,REVIEW,
D1,7,positive,positive,TP,ALTO,95,REVIEW,
D1,8,positive,positive,TP,ALTO,95,REVIEW,
D1,9,positive,positive,TP,ALTO,95,REVIEW,
D1,10,positive,positive,TP,ALTO,95,REVIEW,
D2,1,negative,negative,TN,BAJO,5,ALLOW,
D2,2,negative,negative,TN,BAJO,5,ALLOW,
D2,3,negative,negative,TN,BAJO,5,ALLOW,
D2,4,negative,negative,TN,BAJO,5,ALLOW,
D2,5,negative,negative,TN,BAJO,5,ALLOW,
D2,6,negative,negative,TN,BAJO,5,ALLOW,
D2,7,negative,negative,TN,BAJO,5,ALLOW,
D2,8,negative,negative,TN,BAJO,5,ALLOW,
D2,9,negative,negative,TN,BAJO,5,ALLOW,
D2,10,negative,negative,TN,BAJO,5,ALLOW,
E1,1,positive,positive,TP,ALTO,60,REVIEW,
E1,2,positive,positive,TP,ALTO,60,REVIEW,
E1,3,positive,positive,TP,ALTO,60,REVIEW,
E1,4,positive,positive,TP,ALTO,60,REVIEW,
E1,5,positive,positive,TP,ALTO,60,REVIEW,
E1,6,positive,positive,TP,ALTO,60,REVIEW,
E1,7,positive,positive,TP,ALTO,60,REVIEW,
E1,8,positive,positive,TP,ALTO,60,REVIEW,
E1,9,positive,positive,TP,ALTO,60,REVIEW,
